Ticker,AverageTarget,MaxTarget,LowTarget,CurrentPrice
ZYME,21.0,30.0,13.0,11.0
ZWS,36.0,40.0,29.0,35.0
ZVRA,22.0,25.0,18.0,8.0
ZVIA,3.0,3.0,3.0,2.0
ZUMZ,22.0,25.0,19.0,12.0
ZTS,212.0,244.0,165.0,161.0
ZTO,23.0,26.0,21.0,17.0
ZSPC,15.0,20.0,10.0,6.0
ZS,238.0,270.0,195.0,248.0
ZM,86.0,115.0,71.0,82.0
ZLAB,47.0,55.0,36.0,32.0
ZKH,4.0,4.0,4.0,3.0
ZK,32.0,35.0,26.0,29.0
ZION,57.0,71.0,40.0,46.0
ZIMV,16.0,23.0,10.0,8.0
ZIM,14.0,20.0,9.0,18.0
ZH,4.0,4.0,4.0,3.0
ZGN,8.0,10.0,7.0,8.0
ZG,81.0,95.0,60.0,64.0
ZEUS,41.0,41.0,41.0,31.0
ZETA,30.0,45.0,15.0,13.0
ZD,47.0,95.0,33.0,30.0
ZBRA,321.0,425.0,232.0,287.0
ZBIO,36.0,45.0,30.0,10.0
ZBH,111.0,135.0,95.0,92.0
Z,83.0,100.0,71.0,65.0
YUMC,48.0,60.0,37.0,42.0
YUM,156.0,185.0,135.0,146.0
YSG,3.0,3.0,3.0,4.0
YPF,41.0,59.0,25.0,35.0
YOU,32.0,45.0,26.0,25.0
YMM,14.0,18.0,10.0,11.0
YMAB,16.0,26.0,3.0,4.0
YEXT,9.0,10.0,7.0,6.0
YETI,39.0,55.0,29.0,29.0
YELP,34.0,38.0,30.0,37.0
XYZ,75.0,115.0,50.0,55.0
XYL,146.0,165.0,125.0,125.0
XRX,9.0,11.0,8.0,5.0
XRAY,20.0,28.0,14.0,15.0
XPRO,12.0,12.0,12.0,7.0
XPOF,13.0,19.0,9.0,8.0
XPO,134.0,167.0,113.0,120.0
XPEV,22.0,31.0,12.0,22.0
XPER,19.0,30.0,12.0,7.0
XOMA,69.0,104.0,35.0,25.0
XOM,125.0,144.0,105.0,103.0
XNCR,29.0,40.0,6.0,7.0
XMTR,34.0,48.0,21.0,33.0
XIFR,17.0,30.0,9.0,8.0
XGN,7.0,8.0,7.0,5.0
XERS,6.0,8.0,4.0,4.0
XENE,54.0,67.0,47.0,30.0
X,39.0,45.0,35.0,42.0
WYNN,112.0,122.0,99.0,91.0
WY,33.0,38.0,30.0,25.0
WWD,195.0,220.0,160.0,207.0
WVE,21.0,36.0,10.0,6.0
WULF,7.0,11.0,4.0,3.0
WU,10.0,13.0,7.0,9.0
WTW,351.0,400.0,272.0,310.0
WTTR,14.0,16.0,14.0,8.0
WTS,222.0,240.0,199.0,237.0
WTBA,23.0,23.0,23.0,19.0
WT,12.0,15.0,8.0,9.0
WST,332.0,400.0,250.0,208.0
WSR,15.0,16.0,14.0,12.0
WSO,480.0,540.0,425.0,459.0
WSM,177.0,215.0,134.0,167.0
WSFS,62.0,68.0,55.0,53.0
WSC,40.0,54.0,32.0,27.0
WSBC,38.0,45.0,34.0,30.0
WS,34.0,34.0,34.0,26.0
WRN,4.0,4.0,4.0,1.0
WRLD,10.0,10.0,10.0,143.0
WRBY,22.0,32.0,18.0,20.0
WRB,70.0,80.0,60.0,73.0
WPM,85.0,129.0,61.0,85.0
WPC,109.0,420.0,61.0,60.0
WOW,7.0,7.0,7.0,4.0
WOR,52.0,67.0,44.0,58.0
WOOF,4.0,5.0,2.0,3.0
WOLF,11.0,20.0,3.0,1.0
WNS,62.0,75.0,51.0,56.0
WNEB,8.0,8.0,8.0,9.0
WNC,14.0,14.0,14.0,9.0
WMS,139.0,160.0,133.0,111.0
WMB,60.0,70.0,53.0,57.0
WM,243.0,271.0,219.0,234.0
WLK,103.0,170.0,75.0,73.0
WLDN,51.0,56.0,47.0,51.0
WKC,29.0,32.0,26.0,27.0
WK,107.0,130.0,95.0,68.0
WING,331.0,440.0,255.0,322.0
WINA,445.0,445.0,445.0,415.0
WHR,101.0,138.0,74.0,77.0
WHF,10.0,12.0,9.0,8.0
WHD,52.0,57.0,48.0,41.0
WH,108.0,119.0,94.0,85.0
WGO,51.0,75.0,38.0,34.0
WFRD,96.0,142.0,62.0,45.0
WFG,100.0,115.0,90.0,73.0
WFC,75.0,87.0,57.0,73.0
WEX,182.0,255.0,138.0,133.0
WEST,10.0,13.0,9.0,7.0
WES,39.0,44.0,37.0,38.0
WERN,29.0,52.0,21.0,26.0
WEN,16.0,29.0,13.0,11.0
WELL,161.0,242.0,115.0,148.0
WEC,107.0,124.0,98.0,106.0
WEAV,16.0,18.0,14.0,9.0
WDFC,301.0,322.0,280.0,243.0
WDC,64.0,100.0,40.0,49.0
WDAY,293.0,345.0,190.0,268.0
WD,102.0,110.0,95.0,67.0
WCN,208.0,221.0,189.0,195.0
WCC,216.0,245.0,195.0,166.0
WBTN,14.0,23.0,9.0,8.0
WBS,63.0,76.0,58.0,50.0
WBD,12.0,18.0,8.0,8.0
WBA,10.0,15.0,7.0,11.0
WB,9.0,12.0,7.0,8.0
WAY,40.0,52.0,27.0,39.0
WAT,390.0,460.0,325.0,347.0
WASH,32.0,34.0,31.0,28.0
WAL,97.0,116.0,80.0,71.0
WAFD,30.0,32.0,29.0,28.0
WAB,211.0,226.0,194.0,200.0
W,43.0,60.0,25.0,36.0
VZ,47.0,56.0,40.0,43.0
VYX,14.0,17.0,11.0,10.0
VYGR,13.0,30.0,5.0,3.0
VXRT,3.0,4.0,2.0,0.0
VVX,63.0,80.0,51.0,47.0
VVV,42.0,49.0,38.0,33.0
VUZI,2.0,2.0,2.0,2.0
VTYX,10.0,14.0,6.0,1.0
VTS,26.0,33.0,19.0,21.0
VTRS,10.0,13.0,9.0,8.0
VTR,73.0,78.0,65.0,63.0
VTOL,50.0,50.0,50.0,29.0
VTMX,27.0,34.0,21.0,29.0
VTLE,30.0,50.0,16.0,14.0
VTEX,8.0,11.0,6.0,6.0
VSTS,11.0,16.0,5.0,5.0
VSTM,14.0,20.0,8.0,7.0
VST,165.0,231.0,120.0,152.0
VSH,20.0,22.0,19.0,14.0
VSEC,125.0,150.0,100.0,129.0
VSCO,27.0,45.0,15.0,22.0
VSAT,14.0,19.0,10.0,10.0
VRTX,515.0,586.0,423.0,435.0
VRTS,167.0,211.0,150.0,171.0
VRT,122.0,155.0,75.0,103.0
VRSK,302.0,335.0,279.0,312.0
VRRM,27.0,29.0,23.0,23.0
VRNT,30.0,36.0,23.0,16.0
VRNS,55.0,67.0,45.0,46.0
VRNA,81.0,107.0,57.0,74.0
VREX,22.0,23.0,22.0,7.0
VRE,18.0,23.0,16.0,15.0
VPG,28.0,28.0,28.0,25.0
VOYA,82.0,91.0,70.0,66.0
VNT,44.0,48.0,36.0,35.0
VNOM,56.0,72.0,47.0,40.0
VNO,38.0,48.0,28.0,37.0
VNET,9.0,20.0,5.0,6.0
VNDA,16.0,20.0,13.0,4.0
VMI,362.0,380.0,345.0,313.0
VMEO,7.0,9.0,5.0,4.0
VMC,302.0,320.0,285.0,270.0
VLY,10.0,12.0,8.0,8.0
VLTO,110.0,125.0,100.0,100.0
VLRS,7.0,12.0,4.0,4.0
VKTX,87.0,138.0,30.0,27.0
VIV,17.0,23.0,10.0,9.0
VITL,44.0,52.0,39.0,34.0
VIST,65.0,72.0,57.0,49.0
VIRT,37.0,43.0,28.0,41.0
VIR,32.0,110.0,14.0,4.0
VIPS,15.0,20.0,12.0,14.0
VINP,13.0,13.0,13.0,9.0
VIK,46.0,61.0,29.0,43.0
VIGL,16.0,22.0,13.0,2.0
VICR,43.0,43.0,43.0,41.0
VIAV,12.0,16.0,8.0,9.0
VGZ,2.0,2.0,2.0,1.0
VG,15.0,20.0,11.0,10.0
VFS,5.0,6.0,5.0,3.0
VERX,50.0,61.0,31.0,38.0
VERV,25.0,39.0,15.0,4.0
VERA,63.0,100.0,26.0,20.0
VEON,60.0,60.0,60.0,55.0
VEL,21.0,23.0,20.0,16.0
VECO,30.0,47.0,20.0,19.0
VCYT,40.0,50.0,28.0,27.0
VCTR,71.0,87.0,62.0,61.0
VCEL,60.0,67.0,51.0,41.0
VBTX,30.0,32.0,28.0,24.0
VBNK,14.0,22.0,10.0,11.0
VALN,15.0,17.0,14.0,6.0
VALE,12.0,15.0,9.0,9.0
VAL,49.0,90.0,34.0,36.0
VAC,92.0,140.0,55.0,66.0
V,362.0,410.0,292.0,358.0
UWMC,6.0,10.0,4.0,3.0
UVSP,29.0,31.0,27.0,29.0
UUUU,7.0,10.0,5.0,4.0
UTL,55.0,55.0,55.0,54.0
UTHR,392.0,600.0,302.0,309.0
USPH,109.0,115.0,98.0,77.0
USM,83.0,88.0,78.0,60.0
USGO,26.0,26.0,26.0,9.0
USCB,19.0,21.0,16.0,16.0
USB,50.0,60.0,42.0,42.0
USAU,11.0,13.0,10.0,10.0
USAS,1.0,1.0,1.0,0.0
USAC,26.0,27.0,24.0,24.0
UROY,4.0,4.0,3.0,1.0
URI,757.0,921.0,565.0,696.0
URGN,32.0,55.0,16.0,4.0
URG,2.0,2.0,2.0,0.0
URBN,56.0,73.0,39.0,59.0
UPWK,18.0,24.0,15.0,16.0
UPST,63.0,108.0,14.0,43.0
UPS,120.0,147.0,82.0,95.0
UPBD,36.0,45.0,30.0,23.0
UPB,56.0,75.0,38.0,8.0
UNTY,52.0,55.0,50.0,43.0
UNP,257.0,295.0,200.0,223.0
UNM,88.0,108.0,63.0,80.0
UNIT,5.0,8.0,4.0,4.0
UNH,441.0,700.0,270.0,303.0
UNFI,27.0,33.0,21.0,29.0
UMC,7.0,7.0,7.0,8.0
UMBF,120.0,146.0,98.0,102.0
UMAC,14.0,20.0,4.0,4.0
ULTA,424.0,526.0,315.0,404.0
ULH,29.0,29.0,29.0,24.0
ULCC,6.0,10.0,3.0,3.0
UL,69.0,72.0,67.0,63.0
UIS,6.0,6.0,6.0,4.0
UI,343.0,440.0,247.0,393.0
UHS,224.0,267.0,198.0,190.0
UGP,3.0,3.0,3.0,2.0
UFPT,252.0,252.0,252.0,229.0
UFPI,143.0,157.0,125.0,98.0
UFCS,30.0,32.0,28.0,27.0
UEC,10.0,12.0,10.0,5.0
UE,22.0,22.0,22.0,17.0
UDR,46.0,52.0,42.0,40.0
UDMY,9.0,13.0,7.0,6.0
UCTT,37.0,60.0,26.0,20.0
UCB,33.0,36.0,30.0,28.0
UBSI,40.0,43.0,38.0,36.0
UBER,93.0,115.0,77.0,88.0
UAL,102.0,140.0,70.0,73.0
UAA,7.0,11.0,4.0,6.0
UA,9.0,9.0,9.0,6.0
U,24.0,34.0,15.0,20.0
TZOO,25.0,35.0,17.0,13.0
TYRA,30.0,33.0,28.0,9.0
TYL,687.0,775.0,570.0,567.0
TXT,87.0,107.0,63.0,73.0
TXO,20.0,20.0,20.0,15.0
TXNM,54.0,61.0,50.0,56.0
TXN,189.0,298.0,125.0,185.0
TXG,15.0,25.0,6.0,8.0
TX,37.0,56.0,25.0,28.0
TWST,50.0,62.0,33.0,28.0
TWO,13.0,15.0,10.0,11.0
TWLO,124.0,170.0,70.0,114.0
TWIN,12.0,12.0,12.0,7.0
TWI,11.0,11.0,11.0,7.0
TWFG,33.0,38.0,29.0,35.0
TVTX,31.0,47.0,20.0,16.0
